"N","tempo_medio_ns","profundidade_pilha_maxima"
"10","212.50","1"
"20","1000.00","1"
"30","2365.62","1"
"40","4246.88","1"
"50","4406.25","1"
"10","587.50","100"
"20","2584.38","400"
"30","6175.00","900"
"40","11312.50","1600"
"50","17493.75","2500"
"100","156.25","1"
"1000","1275.00","1"
"1500","1887.50","1"
"2000","2503.12","1"
"500","1096.88","1"
"100","356.25","50"
"1000","3900.00","500"
"1500","5687.50","750"
"2000","9396.88","1000"
"500","1875.00","250"
"100","740.62","1"
"1000","2421.88","1"
"1500","3309.38","1"
"2000","4218.75","1"
"500","1512.50","1"
"100","53953.12","100"
"1000","7208406.25","1000"
"1500","13247509.38","1500"
"2000","22184193.75","2000"
"500","1357878.12","500"
